Product URL,Brand,Product name,Ingredients,Product Image,Price,Description,Product Line Name,Barcode,Size/Volume,Skin Concern
https://afroglamourcosmetics.com/product/caro-white-lightening-set-lotion-creamtube-oil-soap/,Lightening Milk and Lotions,Caro White Lightening Set,,[],AED 125.00,"Caro White Lightening Set : Lotion, Cream,Tube, Oil & Soap
5 Pieces of Caro White Lightening Beauty Products: One Lotion 300 ml, One Cream Jar 300 ml, tube Cream 30 ml, One Oil 50 ml and Soap 180g.
With 2% HydroquinoneCaroWhie is a fomular richinB-carotene & vitamin A and E in orderto make your skin light, manageable,and satin-smooth. its components and active principles are specifically designed to deep-norish your skin protect it and give you a feeling ofwell-being.
Ingredients: Petrolatum, Mineral Oil, Stearic acid,Cetearyl alcohol, Isopropyl myristate, Glycerin, Methryl & propyl paraben,Huile de Carrote, Vit E(0.2%), Hydroquinone(max2%), Aqua(eau), Fragrance",,,,
https://afroglamourcosmetics.com/product/caro-white-lightening-set-lotion-creamtube-oil-soap/,Lightening Milk and Lotions,Caro White Lightening Set,,[],AED 125.00,"Caro White Lightening Set : Lotion, Cream,Tube, Oil & Soap
5 Pieces of Caro White Lightening Beauty Products: One Lotion 300 ml, One Cream Jar 300 ml, tube Cream 30 ml, One Oil 50 ml and Soap 180g.
With 2% HydroquinoneCaroWhie is a fomular richinB-carotene & vitamin A and E in orderto make your skin light, manageable,and satin-smooth. its components and active principles are specifically designed to deep-norish your skin protect it and give you a feeling ofwell-being.
Ingredients: Petrolatum, Mineral Oil, Stearic acid,Cetearyl alcohol, Isopropyl myristate, Glycerin, Methryl & propyl paraben,Huile de Carrote, Vit E(0.2%), Hydroquinone(max2%), Aqua(eau), Fragrance",,,,
https://afroglamourcosmetics.com/product/makari-blue-crystal-4-pc-gift-set/,BLUE CRYSTAL,Makari Blue Crystal 4-Pc Gift Set,,[],"AED 1,974.00","Makari Blue Crystal 4-Pc Gift Set
Makari Blue Crystal collection heals and revitalizes skin with vitamins, antioxidants and natural botanicals restoring its radiant glow. Makari Blue Crystal stimulates cell renewal, tightens the appearance of the skin, reveals a more even toned skin and boosts vibrancy leaving your skin softer, silkier and younger-looking.
Makari Blue Crystal collection is recommended for all skin types especially sensitive and delicate skins
Smooths texture, brightens tone and renew skin’s luster
Reveals a more even toned, radiant skin
Moisturizes and slows the photo-aging process
Erases fine lines and wrinkles
Set Includes:
Blue Crystal Skin Reviving Body Lotion -USE ON BODY ONLY.
Blue Crystal Vitality Face Moisturizer
Blue Crystal Revivify Beauty Bar Soap
Blue Crystal Regenerating Serum",,,,
https://afroglamourcosmetics.com/product/makari-blue-crystal-4-pc-gift-set/,BLUE CRYSTAL,Makari Blue Crystal 4-Pc Gift Set,,[],"AED 1,974.00","Makari Blue Crystal 4-Pc Gift Set
Makari Blue Crystal collection heals and revitalizes skin with vitamins, antioxidants and natural botanicals restoring its radiant glow. Makari Blue Crystal stimulates cell renewal, tightens the appearance of the skin, reveals a more even toned skin and boosts vibrancy leaving your skin softer, silkier and younger-looking.
Makari Blue Crystal collection is recommended for all skin types especially sensitive and delicate skins
Smooths texture, brightens tone and renew skin’s luster
Reveals a more even toned, radiant skin
Moisturizes and slows the photo-aging process
Erases fine lines and wrinkles
Set Includes:
Blue Crystal Skin Reviving Body Lotion -USE ON BODY ONLY.
Blue Crystal Vitality Face Moisturizer
Blue Crystal Revivify Beauty Bar Soap
Blue Crystal Regenerating Serum",,,,
https://afroglamourcosmetics.com/product/makari-naturalle-carotonic-extreme-gift-set/,NATURALLE CAROTONIC EXTREME SPF 15,Makari Naturalle Carotonic Extreme Gift Set,,[],AED 537.00,"Makari Naturalle Carotonic Extreme Gift Set
Unveil your skin’s natural beauty with this 4 piece botanical brightening gift set formulated with skin-enriching Carrot Oil and SPF15. For combination, oily and acne-prone skin types.
Heals acne blemishes and scars
Fades dark spots and blemishes
Improves appearance of skin’s texture
Evens skin tone and delivers a healthy-looking glow
Protects against sun damage and environmental aggressors",,,,
https://afroglamourcosmetics.com/product/makari-naturalle-carotonic-extreme-gift-set/,NATURALLE CAROTONIC EXTREME SPF 15,Makari Naturalle Carotonic Extreme Gift Set,,[],AED 537.00,"Makari Naturalle Carotonic Extreme Gift Set
Unveil your skin’s natural beauty with this 4 piece botanical brightening gift set formulated with skin-enriching Carrot Oil and SPF15. For combination, oily and acne-prone skin types.
Heals acne blemishes and scars
Fades dark spots and blemishes
Improves appearance of skin’s texture
Evens skin tone and delivers a healthy-looking glow
Protects against sun damage and environmental aggressors",,,,
https://afroglamourcosmetics.com/product/pr-francoise-bedon-carotte-lightening-milk/,Brightening Milk and Lotions,Pr. Francoise Bedon Carotte Lightening Milk,,[],AED 380.00,"Pr. Francoise Bedon Carotte Lightening Milk
Intense and very fast lightening treatment made with carrot oil. This nourishing moisturizer corrects dark spots and evens skin tone helping you find a healthier and brighter complexion.",,,,
https://afroglamourcosmetics.com/product/pr-francoise-bedon-carotte-lightening-milk/,Brightening Milk and Lotions,Pr. Francoise Bedon Carotte Lightening Milk,,[],AED 380.00,"Pr. Francoise Bedon Carotte Lightening Milk
Intense and very fast lightening treatment made with carrot oil. This nourishing moisturizer corrects dark spots and evens skin tone helping you find a healthier and brighter complexion.",,,,
https://afroglamourcosmetics.com/product/pr-francoise-bedon-royal-luxe-lotion/,Toning Milk and Lotions,Pr. Francoise Bedon Royal Luxe Lotion,,[],AED 400.00," Pr. Francoise Bedon Royal Luxe Lotion
This innovative treatment treats and eliminates scars caused by age, pregnancy and sun. Lightened and toned, the skin is left cleansed, smooth and nourished.",,,,
https://afroglamourcosmetics.com/product/pr-francoise-bedon-royal-luxe-lotion/,Toning Milk and Lotions,Pr. Francoise Bedon Royal Luxe Lotion,,[],AED 400.00," Pr. Francoise Bedon Royal Luxe Lotion
This innovative treatment treats and eliminates scars caused by age, pregnancy and sun. Lightened and toned, the skin is left cleansed, smooth and nourished.",,,,
